(12.9, 0.02639)
(13.0, -0.71744)
(13.1, 0.14596)
(13.2, -0.31848)
(13.3, 0.20598)
(13.4, 0.32881)
(13.5, 0.41656)
(13.6, 0.19851)
(13.7, -0.55736)
(13.8, 0.48482)
(13.9, 0.15825)
(14.0, -0.24375)
(14.1, -0.23871)
(14.2, -0.13572)
(14.3, -0.20527)
(14.4, -0.13846)
(14.5, -0.26359)
(14.6, 0.19167)
(14.7, 0.33917)
(14.8, 0.25619)
(14.9, 0.30962)
(15.0, 0.03611)
(15.1, 0.13077)
(15.2, -0.15943)
(15.3, -0.31319)
(15.4, -0.23403)
(15.5, -0.13441)
(15.6, 0.15934)
(15.7, -0.22174)
(15.8, -0.1965)
(15.9, 0.15772)
(16.0, 0.22298)
(16.1, 0.28882)
(16.2, 0.00767)
(16.3, 0.32559)
(16.4, -0.03173)
(16.5, -0.21471)
(16.6, -0.30054)
(16.7, 0.0198)
(16.8, -0.12252)
(16.9, 0.04491)
(17.0, -0.17295)
(17.1, -0.00374)
(17.2, 0.01191)
(17.3, 0.33741)
(17.4, 0.06522)
(17.5, 0.04483)
(17.6, 0.16032)
(17.7, 0.16056)
(17.8, -0.20557)
(17.9, -0.33963)
(18.0, -0.08728)
(18.1, -0.24025)
(18.2, 0.20538)
(18.3, -0.23716)
(18.4, 0.30496)
(18.5, 0.15193)
(18.6, 0.1147)
(18.7, -0.17355)
(18.8, 0.15609)
(18.9, 0.11897)
(19.0, 0.10131)
(19.1, -0.12851)
(19.2, -0.01051)
(19.3, -0.3942)
(19.4, -0.06317)
(19.5, -0.11795)
(19.6, 0.19443)
(19.7, -0.05284)
(19.8, 0.18282)
(19.9, 0.01315)
(20.0, 0.11388)
(20.1, 0.11806)
(20.2, -0.0516)
(20.3, 0.0489)
(20.4, 0.03335)
(20.5, -0.0983)
(20.6, -0.05644)
(20.7, -0.28518)
(20.8, -0.07012)
(20.9, -0.0677)
(21.0, 0.08893)
(21.1, 0.1295)
(21.2, 0.16988)
(21.3, 0.17147)
(21.4, 0.07636)
(21.5, -0.11545)
(21.6, -0.09505)
(21.7, -0.01691)
(21.8, 0.13824)
(21.9, -0.20889)
(22.0, 0.06152)
(22.1, -0.40214)
(22.2, 0.13782)
(22.3, -0.09499)
(22.4, 0.03858)
(22.5, 0.21027)
(22.6, 0.01463)
(22.7, 0.2626)
(22.8, 0.00812)
(22.9, 0.02356)
(23.0, -0.07721)
(23.1, -0.08172)
(23.2, -0.00924)
(23.3, -0.01417)
(23.4, -0.1737)
(23.5, -0.15956)
(23.6, -0.02965)
(23.7, 0.04227)
(23.8, -0.00175)
(23.9, 0.24374)
(24.0, 0.00637)
(24.1, 0.27081)
(24.2, -0.04426)
(24.3, -0.05073)
(24.4, -0.09621)
(24.5, -0.10354)
(24.6, 0.06239)
(24.7, 0.01538)
(24.8, -0.12877)
(24.9, -0.00321)
(25.0, -0.1486)
(25.1, 0.07226)
(25.2, -0.01642)
(25.3, 0.0874)
(25.4, 0.0555)
(25.5, 0.15824)
(25.6, 0.16393)
(25.7, -0.13979)
(25.8, -0.01918)
(25.9, -0.0921)
(26.0, -0.04959)
(26.1, -0.02683)
(26.2, -0.10104)
(26.3, -0.05985)
(26.4, 0.0388)
(26.5, -0.03679)
(26.6, 0.09951)
(26.7, 0.02291)
(26.8, 0.10024)
(26.9, 0.11911)
(27.0, 0.04088)
(27.1, 0.00071)
(27.2, -0.05934)
(27.3, -0.11995)
(27.4, -0.02667)
(27.5, 0.00811)
(27.6, -0.07352)
(27.7, 0.03736)
(27.8, -0.08402)
(27.9, -0.0515)
(28.0, -0.03884)
(28.1, 0.08911)
(28.2, 0.04274)
(28.3, 0.1696)
(28.4, 0.08355)
(28.5, 0.01629)
(28.6, 0.00647)
(28.7, -0.08106)
(28.8, -0.05319)
(28.9, -0.08367)
(29.0, -0.07593)
(29.1, 0.00867)
(29.2, -0.04224)
(29.3, 0.00305)
(29.4, 0.0094)
(29.5, 0.03473)
(29.6, 0.04042)
(29.7, 0.08438)
(29.8, 0.01211)
(29.9, 0.05529)
(30.0, 0.02079)
